,activity,before_break,date,event,h1,h2,h3,h4,h5,player,type
4159,post-practice,False,2017-08-03 11:35:00,fall camp practice #4,0.0,0.0,0.025,0.0,0.0,off guard,camp
4157,pre,True,2017-08-04 09:35:00,fall camp practice #5,0.01,0.0,0.0,0.0,0.0,off tackle,camp
4158,pre,True,2017-08-04 09:35:00,fall camp practice #5,0.0,0.01,0.0,0.0,0.0,tight end,camp
4155,pat/fg,True,2017-08-04 09:40:00,fall camp practice #5,0.0,0.04,0.0,0.0,0.0,tight end,camp
4156,pat/fg,True,2017-08-04 09:40:00,fall camp practice #5,0.0,0.04444444444444444,0.0,0.0,0.0,def end,camp
4154,indy,True,2017-08-04 09:50:00,fall camp practice #5,0.01111111111111111,0.0,0.0,0.0,0.0,linebacker,camp
4153,indy,True,2017-08-04 09:50:00,fall camp practice #5,0.01111111111111111,0.01111111111111111,0.0,0.0,0.0,linebacker,camp
4152,indy,True,2017-08-04 09:50:00,fall camp practice #5,0.02,0.01,0.0,0.0,0.0,tight end,camp
4151,indy,True,2017-08-04 09:55:00,fall camp practice #5,0.009259259259259259,0.0,0.009259259259259259,0.0,0.0,safety,camp
4150,indy,True,2017-08-04 10:05:00,fall camp practice #5,0.0,0.009259259259259259,0.0,0.0,0.0,linebacker,camp
4149,inside,True,2017-08-04 10:10:00,fall camp practice #5,0.04,0.0,0.0,0.0,0.0,linebacker,camp
4148,inside/1on1,True,2017-08-04 10:15:00,fall camp practice #5,0.0,0.0,0.01,0.0,0.0,running back,camp
4147,inside/1on1,True,2017-08-04 10:15:00,fall camp practice #5,0.01,0.0,0.02,0.0,0.0,off guard,camp
4146,inside,True,2017-08-04 10:15:00,fall camp practice #5,0.02,0.02,0.02,0.0,0.0,def tackle,camp
4145,inside,True,2017-08-04 10:15:00,fall camp practice #5,0.02,0.02,0.0,0.0,0.0,linebacker,camp
4144,inside,True,2017-08-04 10:15:00,fall camp practice #5,0.02,0.02,0.04,0.02,0.0,def end,camp
4143,inside/1on1,True,2017-08-04 10:15:00,fall camp practice #5,0.0,0.01,0.0,0.0,0.0,off guard,camp
4142,inside/1on1,True,2017-08-04 10:15:00,fall camp practice #5,0.02,0.02,0.0,0.0,0.0,running back,camp
4141,inside/1on1,True,2017-08-04 10:15:00,fall camp practice #5,0.02,0.01,0.01,0.0,0.0,tight end,camp
4140,inside/1on1,True,2017-08-04 10:15:00,fall camp practice #5,0.01,0.0,0.0,0.0,0.0,off tackle,camp
