,activity,before_break,date,event,h2,h3,h4,h5,pcode,player,ptype,type,day
4294,pass rush,post,2017-08-03 10:55:00,fall camp practice #4,1.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-03
4293,team w/ 3s,post,2017-08-03 11:00:00,fall camp practice #4,1.0,2.0,0.0,0.0,te,tight end,offensive,camp,2017-08-03
4292,team w/ 3s,post,2017-08-03 11:00:00,fall camp practice #4,1.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-03
4291,team w/ 3s,post,2017-08-03 11:00:00,fall camp practice #4,0.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-03
4285,team vs. offense,post,2017-08-03 11:05:00,fall camp practice #4,0.0,1.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-03
4283,team vs. def,post,2017-08-03 11:05:00,fall camp practice #4,1.0,1.0,0.0,0.0,te,tight end,offensive,camp,2017-08-03
4286,team vs. def,post,2017-08-03 11:05:00,fall camp practice #4,1.0,0.0,0.0,0.0,qbrb,running back,offensive,camp,2017-08-03
4284,team vs. def,post,2017-08-03 11:05:00,fall camp practice #4,2.0,0.0,0.0,0.0,te,tight end,offensive,camp,2017-08-03
4288,team vs. offense,post,2017-08-03 11:05:00,fall camp practice #4,0.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-03
4287,team vs. def,post,2017-08-03 11:05:00,fall camp practice #4,1.0,1.0,0.0,0.0,ot,off tackle,offensive,camp,2017-08-03
4289,team vs. offense,post,2017-08-03 11:05:00,fall camp practice #4,0.0,0.0,0.0,0.0,de,def end,defensive,camp,2017-08-03
4290,team vs. offense,post,2017-08-03 11:05:00,fall camp practice #4,1.0,0.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-03
4276,team vs. offense,post,2017-08-03 11:10:00,fall camp practice #4,0.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-03
4277,team vs. offense,post,2017-08-03 11:10:00,fall camp practice #4,0.0,1.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-03
4278,team vs. def,post,2017-08-03 11:10:00,fall camp practice #4,0.0,1.0,0.0,0.0,qbrb,running back,offensive,camp,2017-08-03
4282,team vs. offense,post,2017-08-03 11:10:00,fall camp practice #4,1.0,0.0,0.0,0.0,safety,safety,defensive,camp,2017-08-03
4280,team vs. def,post,2017-08-03 11:10:00,fall camp practice #4,0.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-03
4281,team vs. def,post,2017-08-03 11:10:00,fall camp practice #4,0.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-03
4279,team vs. offense,post,2017-08-03 11:10:00,fall camp practice #4,2.0,1.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-03
